"","Project","Version","Class","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","nr","ndc","nml","ndpv","max.cc.","avg.cc.","isBuggy"
"11920","lucene","2.4","org.apache.lucene.index.DocConsumer",6,1,1,5,7,15,3,3,0,2,9,0,0,0,0.41666666,0,0,0.5,"1","1","29","0",1,0.8333333,FALSE
"11921","lucene","2.4","org.apache.lucene.search.function.ShortFieldSource$1",5,2,0,2,12,0,1,2,3,0.375,45,1,1,0.75,0.5,1,6,7.6,NA,"0",NA,"0",1,0.8,FALSE
"11922","lucene","2.4","org.apache.lucene.search.BooleanScorer",12,3,0,8,29,26,1,7,7,0.6090909,461,1,3,0.44444445,0.30555555,1,3,36.583332,"0","0",NA,"0",2,1.0833334,TRUE
"11923","lucene","2.4","org.apache.lucene.util.cache.SimpleLRUCache",2,3,0,3,5,0,2,2,1,1,33,1,0,0.9230769,0.5,1,4,14.5,"1","1","49","0",1,0.5,FALSE
"11924","lucene","2.4","org.apache.lucene.document.Field",17,2,0,8,28,0,2,6,17,2,482,0,0,0.7096774,0.30718955,1,6,27.352942,"5","1","197","2",4,0.88235295,TRUE
"11925","lucene","2.4","org.apache.lucene.analysis.TeeTokenFilter",4,3,0,4,12,2,0,4,2,0.7777778,58,0,1,0.7777778,0.4,1,2,12.75,"4","2","82","0",1,0.5,FALSE
"11926","lucene","2.4","org.apache.lucene.queryParser.QueryParser$JJCalls",1,1,0,2,2,0,1,1,0,2,8,0,2,0,1,0,0,3,NA,"0",NA,"0",0,0,FALSE
"11927","lucene","2.4","org.apache.lucene.search.TimeLimitedCollector$TimerThread",4,2,0,2,10,0,1,2,2,0,46,1,0,0.9591837,0.625,1,1,10.25,NA,"0",NA,"0",3,1,FALSE
"11928","lucene","2.4","org.apache.lucene.queryParser.FastCharStream",14,1,0,2,25,3,1,1,13,0.6025641,237,0,0,0,0.4047619,0,0,15.5,"0","0",NA,"0",1,0.9285714,FALSE
"11929","lucene","2.4","org.apache.lucene.store.LockReleaseFailedException",1,4,0,2,2,0,2,0,1,2,5,0,0,1,1,0,0,4,"1","1","31","0",0,0,FALSE
"11930","lucene","2.4","org.apache.lucene.util.ScorerDocQueue",16,1,0,3,24,0,2,2,12,0.38333333,361,1,2,0,0.328125,0,0,21.3125,"0","0",NA,"0",7,1.75,TRUE
"11931","lucene","2.4","org.apache.lucene.store.MMapDirectory$MultiMMapIndexInput",8,2,0,2,26,0,1,1,8,0.46938777,339,1,0,0.7083333,0.325,1,5,40.5,NA,"0",NA,"0",2,1,FALSE
"11932","lucene","2.4","org.apache.lucene.analysis.StopAnalyzer$SavedStreams",2,1,0,4,3,1,1,4,0,1.3333334,15,0.33333334,3,0,0.8333333,0,0,5,NA,"0",NA,"0",0,0,FALSE
"11933","lucene","2.4","org.apache.lucene.search.DocIdSet",2,1,3,16,3,1,15,1,2,2,5,0,0,0,1,0,0,1.5,"1","1","27","0",1,0.5,TRUE
"11934","lucene","2.4","org.apache.lucene.index.TermVectorOffsetInfo",9,1,0,11,10,2,11,0,8,0.6666667,83,0.6666667,1,0,0.5,1,1,7.888889,"0","0",NA,"0",5,1.1111112,TRUE
"11935","lucene","2.4","org.apache.lucene.search.QueryFilter",3,3,0,4,7,3,0,4,3,2,20,0,0,0.7777778,0.5555556,2,3,5.6666665,"0","0",NA,"0",1,0.6666667,FALSE
"11936","lucene","2.4","org.apache.lucene.store.SimpleFSLock",5,2,0,3,19,0,1,2,5,0.375,100,0,0,0.5,0.46666667,1,2,18.6,"0","0",NA,"0",1,0.8,FALSE
"11937","lucene","2.4","org.apache.lucene.index.ByteSliceReader",13,2,0,8,22,38,5,3,10,0.65833336,447,0,1,0.60714287,0.21428572,1,4,32.615383,"2","1","148","0",8,2.3846154,FALSE
"11938","lucene","2.4","org.apache.lucene.util.BitUtil",15,1,0,1,16,99,1,0,14,0.85714287,3574,0,0,0,0.3392857,0,0,237.2,"1","1","799","0",8,3.3333333,TRUE
"11939","lucene","2.4","org.apache.lucene.search.DocIdSetIterator",4,1,4,14,5,6,14,0,4,2,7,0,0,0,0.625,0,0,0.75,"1","1","49","0",1,0.75,TRUE
"11940","lucene","2.4","org.apache.lucene.store.SimpleFSLockFactory",6,2,0,5,17,3,2,3,4,0.2,102,1,0,0.5714286,0.6111111,0,0,15.833333,"3","2","37","3",2,0.6666667,TRUE
"11941","lucene","2.4","org.apache.lucene.search.FuzzyTermEnum",14,3,0,5,29,53,1,4,6,0.6923077,514,1,1,0.5416667,0.33333334,1,4,34.92857,"0","0",NA,"0",14,2.2857144,TRUE
"11942","lucene","2.4","org.apache.lucene.store.LockVerifyServer",3,1,0,0,25,3,0,0,2,2,165,0,0,0,0.33333334,0,0,54,"2","2","100","0",1,0.6666667,FALSE
"11943","lucene","2.4","org.apache.lucene.index.IndexReader",76,1,4,128,131,2812,104,25,62,0.94666666,722,0.5714286,1,0,0.100833334,0,0,8.407895,"18","5","691","11",12,1.1578947,TRUE
"11944","lucene","2.4","org.apache.lucene.index.RawPostingList",1,1,2,12,2,0,12,0,0,2,8,0,0,0,1,0,0,3,"1","1","36","0",0,0,FALSE
"11945","lucene","2.4","org.apache.lucene.util.Parameter",6,1,5,5,18,5,5,0,1,0.6,88,0.5,0,0,0.7,0,0,13.333333,"0","0",NA,"0",1,0.5,FALSE
"11946","lucene","2.4","org.apache.lucene.index.SegmentInfos$1",2,2,0,4,4,0,1,4,0,0,18,1,1,0.6666667,0.625,1,1,7.5,NA,"0",NA,"0",1,0.5,FALSE
"11947","lucene","2.4","org.apache.lucene.store.NativeFSLock",7,2,0,3,32,1,1,2,6,0.5833333,346,1,0,0.44444445,0.44444445,1,2,47.57143,"0","0",NA,"0",2,0.85714287,FALSE
"11948","lucene","2.4","org.apache.lucene.index.MultiSegmentReader",37,3,1,22,95,0,4,20,21,0.71031743,1118,1,1,0.7307692,0.1266892,2,11,29.027027,"7","3","729","0",6,1.2972972,TRUE
"11949","lucene","2.4","org.apache.lucene.util.DocIdBitSet",4,2,0,4,9,0,2,3,3,0.8333333,31,0.5,0,0.25,0.41666666,0,0,6.25,"1","1","77","0",1,0.75,TRUE
"11950","lucene","2.4","org.apache.lucene.index.PositionBasedTermVectorMapper$TVPositionInfo",5,1,0,2,8,0,1,1,4,0.5833333,49,1,0,0,0.36,0,0,8.2,NA,"0",NA,"0",2,1,FALSE
"11951","lucene","2.4","org.apache.lucene.store.NoLock",5,2,0,2,6,10,1,1,4,2,15,0,0,0.5,1,1,2,2,"0","0",NA,"0",1,0.8,FALSE
"11952","lucene","2.4","org.apache.lucene.index.InvertedDocConsumer",7,1,1,7,8,21,4,4,0,1,15,0,1,0,0.34285715,0,0,1,"1","1","46","0",1,0.85714287,FALSE
"11953","lucene","2.4","org.apache.lucene.search.FieldSortedHitQueue$9",4,1,0,3,6,0,1,2,3,0.5,54,1,0,0,0.5,0,0,12,NA,"0",NA,"0",4,1.5,FALSE
"11954","lucene","2.4","org.apache.lucene.search.SpanQueryFilter",8,3,0,8,29,0,0,8,7,0.14285715,118,1,1,0.33333334,0.375,1,1,13.625,"3","3","110","0",3,1,TRUE
"11955","lucene","2.4","org.apache.lucene.util.ToStringUtils",2,1,0,17,7,1,17,0,2,2,21,0,0,0,0.5,0,0,9.5,"1","1","0","0",2,1,TRUE
"11956","lucene","2.4","org.apache.lucene.search.ScoreDocComparator",4,1,0,16,6,6,15,3,3,1,15,0,2,0,0.8333333,0,0,2.25,"1","1","3","1",1,0.75,FALSE
"11957","lucene","2.4","org.apache.lucene.search.BooleanScorer2$SingleMatchScorer",6,3,0,5,14,0,1,5,5,0.53333336,62,1,2,0.61538464,0.41666666,1,3,8.833333,NA,"0",NA,"0",1,0.8333333,FALSE
"11958","lucene","2.4","org.apache.lucene.search.function.IntFieldSource$1",5,2,0,2,12,0,1,2,3,0.375,45,1,1,0.75,0.5,1,6,7.6,NA,"0",NA,"0",1,0.8,FALSE
"11959","lucene","2.4","org.apache.lucene.document.Document",18,1,0,30,39,0,28,3,17,0.8137255,432,0.8333333,2,0,0.42647058,0,0,22.666666,"8","4","92","5",5,2.4444444,FALSE
"11960","lucene","2.4","org.apache.lucene.search.PhraseQuery$PhraseWeight",8,1,0,12,38,0,1,12,8,0.6904762,437,1,2,0,0.29166666,0,0,52.875,NA,"0",NA,"0",1,0.875,FALSE
"11961","lucene","2.4","org.apache.lucene.search.function.CustomScoreQuery$CustomScorer",7,3,0,9,26,0,1,9,5,0.47619048,219,1,5,0.61538464,0.34920636,1,3,29.285715,NA,"0",NA,"0",1,0.71428573,FALSE
"11962","lucene","2.4","org.apache.lucene.search.function.OrdFieldSource",7,2,0,6,21,0,1,6,5,0.6666667,90,0.6666667,0,0.5,0.375,2,2,11.428572,"2","2","5","2",3,1,FALSE
"11963","lucene","2.4","org.apache.lucene.index.MultipleTermPositions",13,1,0,8,36,58,1,7,13,0.7916667,191,1,2,0,0.20192307,0,0,13.384615,"1","1","3","1",1,0.9230769,FALSE
"11964","lucene","2.4","org.apache.lucene.document.Field$TermVector",2,2,0,5,3,1,4,1,0,1,37,0,5,1,1,0,0,15,NA,"0",NA,"0",0,0,FALSE
"11965","lucene","2.4","org.apache.lucene.index.TermVectorsTermsWriter",15,2,0,17,58,37,4,17,4,0.77922076,751,0,6,0.35,0.1904762,0,0,48.333332,"2","1","292","0",5,1.5333333,TRUE
"11966","lucene","2.4","org.apache.lucene.search.spans.SpanOrQuery$1",11,1,0,5,37,25,1,5,8,0.43333334,238,1,3,0,0.3409091,0,0,20.363636,NA,"0",NA,"0",3,1.2727273,FALSE
"11967","lucene","2.4","org.apache.lucene.index.BufferedDeletes$Num",3,1,0,2,4,0,2,0,0,0,21,1,0,0,0.8333333,0,0,5.6666665,NA,"0",NA,"0",2,1,FALSE
"11968","lucene","2.4","org.apache.lucene.index.DefaultSkipListWriter",4,2,0,4,10,0,2,2,0,0.4848485,182,1,2,0.625,0.625,1,1,41.75,"2","2","6","0",2,1.25,FALSE
"11969","lucene","2.4","org.apache.lucene.search.FieldCache",13,1,0,17,14,78,11,8,12,1.0416666,20,0,1,0,0.42708334,0,0,0.3846154,"1","1","1","1",1,0.9230769,TRUE
"11970","lucene","2.4","org.apache.lucene.search.FieldSortedHitQueue$1",2,2,0,6,18,1,1,6,0,2,91,0,0,0.6666667,0.6666667,1,1,44.5,NA,"0",NA,"0",1,0.5,FALSE
"11971","lucene","2.4","org.apache.lucene.search.spans.SpanFirstQuery",14,3,0,7,31,0,1,7,12,0.46153846,182,1,1,0.56666666,0.19642857,2,2,11.857142,"1","1","31","0",6,1.2857143,TRUE
"11972","lucene","2.4","org.apache.lucene.search.spans.SpanFirstQuery$1",9,1,0,4,25,0,1,4,8,0.5833333,108,1,3,0,0.33333334,0,0,10.666667,NA,"0",NA,"0",1,0.8888889,FALSE
"11973","lucene","2.4","org.apache.lucene.store.Lock$With",3,1,0,2,6,1,0,2,2,0.5,39,1,1,0,0.5555556,0,0,11.333333,NA,"0",NA,"0",1,0.6666667,FALSE
"11974","lucene","2.4","org.apache.lucene.util.cache.Cache",7,1,2,5,9,21,5,1,6,2,18,0,0,0,0.47619048,0,0,1.5714285,"2","1","105","0",1,0.85714287,FALSE
"11975","lucene","2.4","org.apache.lucene.analysis.TokenFilter",3,2,8,9,6,0,8,1,2,0,20,1,1,0.71428573,0.6666667,0,0,5.3333335,"3","1","12","2",1,0.6666667,TRUE
"11976","lucene","2.4","org.apache.lucene.index.ByteBlockPool",6,1,0,5,12,0,4,1,5,0.44,387,0.2,1,0,0.4,0,0,61.833332,"3","1","166","0",4,1.6666666,FALSE
"11977","lucene","2.4","org.apache.lucene.queryParser.QueryParser$Operator",2,2,0,2,3,1,1,1,0,1,19,0,2,1,1,0,0,7.5,NA,"0",NA,"0",0,0,FALSE
"11978","lucene","2.4","org.apache.lucene.index.SegmentMerger$CheckAbort",2,1,0,5,4,0,2,3,2,0.33333334,34,1,2,0,0.625,0,0,14.5,NA,"0",NA,"0",1,0.5,FALSE
"11979","lucene","2.4","org.apache.lucene.search.payloads.BoostingTermQuery",4,4,0,6,8,4,2,5,2,2,42,0,0,0.8965517,0.35,1,1,9.5,"6","3","44","4",4,1.5,TRUE
"11980","lucene","2.4","org.apache.lucene.index.InvertedDocEndConsumerPerField",3,1,1,5,4,3,5,0,0,2,6,0,0,0,1,0,0,1,"1","1","23","0",1,0.6666667,FALSE
"11981","lucene","2.4","org.apache.lucene.search.DisjunctionSumScorer",12,3,1,7,37,0,2,5,9,0.45454547,357,1,1,0.44444445,0.41666666,1,3,28.083334,"0","0",NA,"0",1,0.8333333,TRUE
"11982","lucene","2.4","org.apache.lucene.search.ParallelMultiSearcher$1",2,2,0,2,4,0,1,2,1,0.33333334,26,1,2,0.5,0.7,0,0,10.5,NA,"0",NA,"0",1,0.5,FALSE
"11983","lucene","2.4","org.apache.lucene.index.SegmentTermPositionVector",4,2,0,4,5,0,1,3,3,0.6666667,65,0.6666667,1,0.7777778,0.47619048,0,0,14.5,"0","0",NA,"0",4,2,FALSE
"11984","lucene","2.4","org.apache.lucene.search.FieldSortedHitQueue$8",4,1,0,4,5,0,1,3,3,0.33333334,50,1,1,0,0.5833333,0,0,11.25,NA,"0",NA,"0",3,1.25,FALSE
"11985","lucene","2.4","org.apache.lucene.search.function.FieldScoreQuery",2,3,0,7,12,1,0,7,1,2,52,0,0,0.94736844,0.8333333,0,0,25,"1","1","2","0",5,2.5,TRUE
"11986","lucene","2.4","org.apache.lucene.search.HitIterator",5,1,0,2,10,0,1,2,4,0.375,60,1,1,0,0.6,0,0,10.6,"3","2","3","2",2,1.2,FALSE
"11987","lucene","2.4","org.apache.lucene.search.BooleanScorer2$Coordinator",5,1,0,5,8,2,4,3,0,0.5,64,0.5,1,0,0.53333336,0,0,11,NA,"0",NA,"0",2,0.8,FALSE
"11988","lucene","2.4","org.apache.lucene.search.QueryWrapperFilter",6,2,0,10,20,0,3,9,6,0,84,1,1,0.2857143,0.41666666,2,2,12.833333,"2","1","15","1",2,1,TRUE
"11989","lucene","2.4","org.apache.lucene.queryParser.Token",7,1,0,4,8,19,4,0,7,0.9791667,49,0,2,0,0.52380955,0,0,4.857143,"1","1","67","1",2,0.71428573,TRUE
"11990","lucene","2.4","org.apache.lucene.search.RangeFilter",9,2,0,8,38,0,1,7,9,0.083333336,695,1,0,0.22222222,0.3148148,2,2,75.55556,"3","3","248","3",14,3.2222223,TRUE
"11991","lucene","2.4","org.apache.lucene.util.SortedVIntList",16,2,0,5,26,80,2,5,8,0.8666667,207,0.85714287,0,0.083333336,0.21428572,0,0,11.5,"1","1","217","0",2,0.75,TRUE
"11992","lucene","2.4","org.apache.lucene.index.IndexModifier",26,1,0,13,58,0,0,13,22,0.344,719,1,4,0,0.18461539,0,0,26.26923,"11","3","37","5",2,1.1538461,TRUE
"11993","lucene","2.4","org.apache.lucene.analysis.PerFieldAnalyzerWrapper",6,2,0,2,17,0,0,2,6,0.1,90,1,1,0.5,0.5833333,1,1,13.666667,"1","1","9","0",2,1.1666666,TRUE
"11994","lucene","2.4","org.apache.lucene.index.SegmentReader$Norm",16,1,0,5,28,86,1,5,3,0.8466667,184,0.7,2,0,0.18518518,0,0,9.875,NA,"0",NA,"0",3,1,FALSE
"11995","lucene","2.4","org.apache.lucene.search.FuzzyQuery$ScoreTerm",1,1,0,3,2,0,2,1,1,2,12,0,1,0,1,0,0,9,NA,"0",NA,"0",0,0,FALSE
"11996","lucene","2.4","org.apache.lucene.index.SegmentInfos$FindSegmentsFile",4,1,6,12,28,2,7,5,3,0.6666667,400,0,1,0,0.4375,0,0,98.5,NA,"0",NA,"0",1,0.5,FALSE
"11997","lucene","2.4","org.apache.lucene.queryParser.QueryParserConstants",1,1,0,2,1,0,2,0,0,2,179,0,0,0,0,0,0,140,"2","2","99","2",0,0,FALSE
"11998","lucene","2.4","org.apache.lucene.index.DocInverterPerThread",5,2,0,19,18,0,8,15,4,0.78571427,84,0,7,0.5,0.4,0,0,14.4,"1","1","70","0",3,1.2,TRUE
"11999","lucene","2.4","org.apache.lucene.search.FieldCache$StringIndex",1,1,0,9,2,0,9,0,1,2,12,0,0,0,1,0,0,9,NA,"0",NA,"0",0,0,FALSE
"12000","lucene","2.4","org.apache.lucene.search.function.IntFieldSource",7,3,0,7,21,9,2,6,6,0.7777778,120,0.33333334,1,0.7058824,0.33333334,2,3,15.714286,"2","2","4","1",6,1.7142857,TRUE
"12001","lucene","2.4","org.apache.lucene.analysis.KeywordAnalyzer",3,2,0,4,8,3,0,4,3,2,31,0,0,0.71428573,0.7777778,1,2,9.333333,"3","2","17","1",1,0.6666667,TRUE
"12002","lucene","2.4","org.apache.lucene.analysis.standard.StandardAnalyzer$1",0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,NA,"0",NA,"0",0,0,FALSE
"12003","lucene","2.4","org.apache.lucene.search.SpanFilterResult$PositionInfo",4,1,0,2,8,0,1,1,4,0.5,33,1,0,0,0.75,0,0,6.75,NA,"0",NA,"0",1,0.75,FALSE
"12004","lucene","2.4","org.apache.lucene.index.TermVectorsWriter",6,1,0,13,42,0,2,11,2,0.62857145,599,0.5714286,5,0,0.3,0,0,97.666664,"6","1","482","3",1,0.6666667,TRUE
"12005","lucene","2.4","org.apache.lucene.index.SegmentTermPositions",17,2,0,6,34,34,1,6,7,0.7222222,323,0.7777778,1,0.44444445,0.1736111,1,2,17.470589,"4","2","14","1",3,1,TRUE
"12006","lucene","2.4","org.apache.lucene.analysis.WhitespaceAnalyzer",3,2,0,4,8,3,0,4,3,2,31,0,0,0.71428573,0.7777778,1,2,9.333333,"1","1","11","0",1,0.6666667,TRUE
